|Frequenz(Bits/s)||Bitstringlänge||Anzahl fehlerhafter Bits||Anzahl fehlerhafter Zeichen||Fehlerrate Bits||Fehlerrate Zeichen||Falsche 1-Bits||Falsche 0-Bits||Threshold||Fenstergröße Empfänger(ns)||Fenstergröße Sender(ns)|
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|	50	 ||	1453	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	913	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1782	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	358	 ||	    5   	   ||	         3  		||    1.40%	 ||    5.88%	     ||    0	     ||    5	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	470	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1546	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1059	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1073	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	321	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1039	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	336	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1075	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	648	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	592	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1340	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	750	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	560	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1238	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1269	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	842	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	461	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1095	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1044	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1299	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1655	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1248	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	69	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1361	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	544	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1098	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
|	50	 ||	1473	 ||	    0   	   ||	         0  		||    0.00%	 ||    0.00%	     ||    0	     ||    0	     ||    173	||  	   13000000	    ||	16000000
